Age,Height,Weight,Sex,Year,Season,City,Sport,Medal,AOS,AOE
19,177,66,M,1992,Summer,Innsbruck,Fencing,Gold,1,1
32,182,86,M,2008,Summer,Lake Placid,Gymnastics,Thanks,1,1
25,194,98,M,1996,Summer,Barcelona,Skeleton,Thanks,1,1
26,181,78,M,1976,Summer,Paris,Triathlon,Thanks,1,7
29,181,79,M,1928,Summer,Lillehammer,Cycling,Thanks,2,2
23,184,98,M,1988,Summer,London,Wrestling,Thanks,1,1
25,181,74,M,1992,Summer,Atlanta,Basketball,Thanks,1,1
28,181,83,M,1980,Summer,Cortina d'Ampezzo,Sailing,Thanks,1,1
26,181,87,M,1980,Winter,Torino,Cycling,Thanks,1,1
24,150,44,F,2006,Summer,Beijing,Taekwondo,Thanks,1,1
25,164,56,F,1952,Summer,Montreal,Art Competitions,Thanks,1,1
28,192,99,M,2008,Winter,Los Angeles,Beach Volleyball,Thanks,1,1
29,174,69,M,1920,Summer,Atlanta,Athletics,Thanks,1,1
29,177,73,M,1912,Summer,Sarajevo,Football,Thanks,1,9
33,184,82,M,1988,Summer,London,Triathlon,Thanks,1,1
16,188,75,M,2008,Summer,Mexico City,Golf,Thanks,1,1
19,193,106,M,1984,Summer,Stockholm,Judo,Thanks,1,1
25,194,86,M,1988,Summer,Sochi,Rugby Sevens,Gold,1,1
27,197,104,M,1964,Summer,Atlanta,Triathlon,Thanks,1,1
28,179,68,M,1900,Summer,Mexico City,Archery,Thanks,1,1
25,181,74,M,1964,Summer,Grenoble,Athletics,Thanks,1,1
28,177,80,M,1952,Summer,Paris,Handball,Thanks,1,2
27,180,79,M,2016,Summer,Innsbruck,Hockey,Thanks,1,1
34,172,68,M,1936,Summer,Oslo,Triathlon,Thanks,1,2
28,182,79,M,1988,Summer,Sarajevo,Short Track Speed Skating,Thanks,1,2
29,165,59,M,1896,Summer,Sankt Moritz,Beach Volleyball,Thanks,1,2
28,167,66,M,2012,Summer,Sydney,Handball,Thanks,1,1
30,186,84,M,1996,Summer,Oslo,Badminton,Thanks,1,1
19,188,79,M,1988,Summer,Paris,Athletics,Thanks,1,1
23,164,53,M,2004,Winter,Athina,Athletics,Thanks,1,1
34,175,75,M,2012,Summer,Munich,Biathlon,Thanks,1,2
24,185,78,M,1900,Summer,Montreal,Sailing,Thanks,1,1
23,181,65,M,2004,Summer,Antwerpen,Equestrianism,Thanks,1,2
29,183,83,M,1996,Summer,Sochi,Swimming,Thanks,1,1
24,168,56,M,1960,Summer,Los Angeles,Water Polo,Thanks,1,1
27,167,65,M,2012,Summer,Berlin,Wrestling,Thanks,1,1
28,195,90,M,1976,Summer,Grenoble,Alpine Skiing,Thanks,1,2
36,172,74,M,1952,Summer,Stockholm,Shooting,Thanks,1,1
23,182,88,M,1996,Summer,Lillehammer,Football,Thanks,1,1
30,154,66,F,1980,Summer,Barcelona,Wrestling,Thanks,1,1
30,172,75,F,1968,Summer,Barcelona,Volleyball,Thanks,1,1
21,176,56,F,1956,Summer,Atlanta,Freestyle Skiing,Thanks,1,1
31,162,63,M,1988,Summer,London,Triathlon,Thanks,1,2
22,168,59,F,1932,Summer,Barcelona,Rowing,Thanks,1,1
31,175,80,M,1988,Summer,Stockholm,Wrestling,Thanks,1,1
28,178,72,M,1984,Summer,Mexico City,Equestrianism,Thanks,1,1
34,168,68,F,1988,Winter,Paris,Alpine Skiing,Thanks,1,1
14,174,62,M,2002,Summer,Moskva,Athletics,Thanks,1,1
16,167,66,M,1908,Summer,Lillehammer,Athletics,Thanks,1,1
27,188,82,M,2008,Summer,St. Louis,Swimming,Silver,1,2
29,178,77,M,1900,Summer,London,Short Track Speed Skating,Thanks,1,1
24,187,85,M,2008,Summer,Beijing,Swimming,Thanks,1,1
20,169,60,F,1984,Summer,London,Athletics,Thanks,1,1
23,160,47,F,1928,Summer,Helsinki,Fencing,Thanks,1,1
30,171,68,M,2004,Summer,Torino,Athletics,Thanks,1,2
31,181,76,M,1924,Summer,Rio de Janeiro,Cycling,Thanks,1,1
20,184,70,M,2000,Summer,Sydney,Softball,Thanks,1,1
34,195,91,M,1972,Summer,Lake Placid,Synchronized Swimming,Gold,1,2
27,179,86,M,1960,Summer,Stockholm,Triathlon,Thanks,1,1
28,177,70,M,1964,Summer,Athina,Athletics,Thanks,1,2
39,181,79,M,1992,Summer,Stockholm,Athletics,Thanks,1,2
24,180,79,M,1980,Summer,Oslo,Nordic Combined,Thanks,1,1
38,178,87,M,2004,Summer,Innsbruck,Wrestling,Thanks,1,1
22,185,81,M,1896,Summer,Los Angeles,Swimming,Thanks,1,1
19,186,75,M,2004,Summer,Seoul,Athletics,Thanks,1,1
28,182,75,M,1984,Summer,Mexico City,Athletics,Thanks,1,1
34,175,74,M,2006,Summer,Mexico City,Equestrianism,Thanks,1,2
20,185,84,M,2012,Summer,London,Alpine Skiing,Thanks,1,1
18,172,70,F,1984,Summer,London,Alpine Skiing,Thanks,1,7
28,173,66,M,1912,Summer,Lillehammer,Athletics,Thanks,1,1
22,170,52,F,1952,Summer,Los Angeles,Athletics,Thanks,1,1
22,165,49,F,2010,Summer,Amsterdam,Athletics,Thanks,1,2
29,167,73,M,1912,Summer,Los Angeles,Shooting,Thanks,1,1
33,185,71,F,2000,Summer,Amsterdam,Fencing,Thanks,1,1
34,173,74,M,1924,Summer,Beijing,Handball,Thanks,1,1
17,176,65,M,2008,Summer,Sydney,Figure Skating,Thanks,1,1
20,178,71,M,2012,Summer,St. Louis,Snowboarding,Thanks,1,1
27,177,69,M,1960,Summer,Sydney,Athletics,Thanks,1,5
16,166,54,F,2008,Summer,Barcelona,Synchronized Swimming,Thanks,1,1
28,158,64,M,1968,Summer,Garmisch-Partenkirchen,Triathlon,Thanks,1,1
31,178,80,M,1968,Summer,Calgary,Shooting,Thanks,1,2
28,179,75,M,2008,Summer,Tokyo,Swimming,Thanks,1,2
17,170,64,M,1992,Winter,Squaw Valley,Biathlon,Thanks,1,1
34,184,88,M,2008,Summer,Rio de Janeiro,Alpine Skiing,Thanks,1,1
24,183,78,M,1976,Summer,Roma,Athletics,Thanks,1,1
27,179,62,M,1992,Summer,Tokyo,Football,Thanks,1,1
23,176,67,F,2004,Summer,Nagano,Diving,Thanks,1,1
20,167,69,M,2012,Summer,Chamonix,Athletics,Thanks,1,2
22,159,57,F,1992,Summer,Barcelona,Football,Thanks,1,1
20,166,65,M,1976,Summer,Los Angeles,Athletics,Thanks,1,2
26,174,70,M,1960,Summer,Vancouver,Synchronized Swimming,Thanks,1,2
26,177,65,M,1996,Summer,Atlanta,Equestrianism,Thanks,1,1
31,179,81,F,1996,Winter,Atlanta,Football,Thanks,1,1
25,176,82,M,1936,Summer,Roma,Archery,Thanks,1,1
20,180,71,M,1968,Summer,Salt Lake City,Modern Pentathlon,Thanks,1,1
17,177,79,M,1928,Summer,Nagano,Athletics,Thanks,1,1
31,170,77,M,1988,Summer,Munich,Rowing,Thanks,1,1
24,184,88,M,2012,Summer,Nagano,Athletics,Thanks,1,2
27,182,82,F,1948,Summer,London,Shooting,Thanks,1,3
23,180,76,M,1984,Summer,Los Angeles,Cross Country Skiing,Thanks,1,2
25,182,82,M,2000,Summer,Roma,Cycling,Thanks,1,1
32,177,76,M,1976,Summer,Roma,Sailing,Thanks,1,2
21,175,63,M,1992,Summer,Nagano,Boxing,Thanks,1,1
16,192,89,M,2012,Summer,Sydney,Football,Thanks,1,1
35,171,72,F,1960,Summer,Paris,Weightlifting,Thanks,1,2
27,176,71,M,2008,Summer,Montreal,Sailing,Thanks,1,1
23,203,94,M,2008,Summer,Montreal,Athletics,Thanks,1,2
36,186,98,M,1988,Summer,Calgary,Rowing,Thanks,1,1
23,185,78,M,1948,Summer,Los Angeles,Athletics,Thanks,1,1
22,181,82,M,1980,Summer,Roma,Polo,Thanks,1,1
31,187,86,M,1984,Summer,Tokyo,Athletics,Thanks,1,3
31,187,86,M,1992,Summer,Moskva,Rowing,Thanks,1,3
28,185,93,M,2004,Summer,Moskva,Water Polo,Thanks,1,1
26,168,65,M,1912,Summer,Los Angeles,Athletics,Thanks,1,2
36,186,91,M,1968,Summer,Salt Lake City,Short Track Speed Skating,Thanks,1,1
25,179,75,M,2004,Winter,Atlanta,Fencing,Thanks,1,1
22,187,80,M,2004,Summer,Athina,Sailing,Thanks,1,1
41,182,86,F,2008,Summer,Rio de Janeiro,Shooting,Thanks,1,3
24,170,65,M,2016,Summer,Athina,Athletics,Thanks,1,2
32,173,72,M,1912,Summer,Lillehammer,Wrestling,Thanks,1,1
24,164,50,F,1996,Summer,Antwerpen,Weightlifting,Thanks,1,1
32,184,79,F,2012,Summer,Atlanta,Luge,Thanks,1,2
25,168,69,M,2014,Summer,London,Softball,Thanks,1,1
31,178,79,M,1948,Summer,London,Shooting,Thanks,1,1
26,186,89,M,1948,Summer,Atlanta,Biathlon,Thanks,1,1
27,171,79,M,1992,Summer,Mexico City,Figure Skating,Thanks,1,1
27,181,85,F,1996,Summer,Seoul,Ski Jumping,Thanks,1,1
21,177,70,M,2002,Summer,London,Athletics,Thanks,1,1
33,182,97,F,1956,Summer,Atlanta,Baseball,Silver,1,1
29,165,58,F,1992,Winter,Antwerpen,Athletics,Thanks,1,2
18,188,78,M,1920,Summer,Innsbruck,Basketball,Bronze,1,2
30,168,69,F,1908,Summer,Vancouver,Weightlifting,Thanks,1,2
27,184,75,M,1992,Summer,Roma,Athletics,Thanks,1,2
27,170,77,M,1896,Summer,Rio de Janeiro,Tennis,Thanks,1,1
27,173,78,F,2008,Summer,London,Baseball,Thanks,1,1
24,154,43,M,1948,Summer,Sochi,Athletics,Thanks,1,2
26,192,95,M,1992,Summer,Mexico City,Nordic Combined,Thanks,1,1
31,177,74,M,2004,Summer,Sydney,Figure Skating,Thanks,1,1
32,183,75,M,1896,Summer,Vancouver,Baseball,Thanks,1,1
24,162,55,M,1960,Summer,Sydney,Athletics,Thanks,1,1
24,182,75,M,1988,Summer,London,Athletics,Thanks,1,9
28,174,68,F,2000,Winter,Calgary,Cross Country Skiing,Thanks,1,1
23,180,75,M,1920,Summer,Mexico City,Football,Thanks,1,1
26,179,67,M,2008,Summer,Los Angeles,Athletics,Thanks,1,2
22,185,79,M,1992,Summer,Paris,Ice Hockey,Thanks,1,1
28,182,80,M,1996,Summer,Atlanta,Figure Skating,Thanks,1,1
27,174,68,M,1996,Summer,Montreal,Handball,Thanks,1,2
24,172,56,M,2004,Summer,Antwerpen,Athletics,Thanks,1,2
22,189,85,M,1992,Summer,Barcelona,Badminton,Thanks,1,1
25,171,65,F,2008,Summer,Los Angeles,Cross Country Skiing,Thanks,1,2
25,165,72,F,2008,Summer,Beijing,Swimming,Thanks,1,1
14,172,60,M,1972,Summer,Los Angeles,Athletics,Thanks,1,1
31,186,89,M,2012,Summer,Los Angeles,Athletics,Thanks,1,1
27,185,80,F,2016,Summer,Seoul,Handball,Thanks,1,1
17,168,56,M,2000,Summer,Rio de Janeiro,Golf,Thanks,1,1
23,173,70,M,1988,Summer,Amsterdam,Nordic Combined,Thanks,1,1
16,178,57,M,1992,Summer,Sarajevo,Athletics,Thanks,1,2
22,173,53,M,2016,Winter,Rio de Janeiro,Athletics,Thanks,1,2
22,179,75,M,2002,Summer,Squaw Valley,Badminton,Thanks,1,1
29,189,101,F,1956,Summer,Rio de Janeiro,Biathlon,Thanks,1,1
29,185,93,M,1996,Summer,Sydney,Water Polo,Thanks,1,1
24,196,98,M,2016,Summer,Rio de Janeiro,Bobsleigh,Thanks,1,1
24,183,81,M,1952,Summer,Seoul,Judo,Thanks,1,1
21,162,43,F,1972,Summer,Rio de Janeiro,Athletics,Thanks,1,1
31,174,84,F,1972,Summer,Los Angeles,Bobsleigh,Silver,1,2
20,187,94,M,1980,Summer,Moskva,Cycling,Thanks,1,1
15,184,71,M,1976,Summer,Tokyo,Polo,Thanks,1,1
27,182,83,M,1964,Summer,Rio de Janeiro,Fencing,Thanks,1,1
23,174,59,F,1976,Summer,Rio de Janeiro,Short Track Speed Skating,Thanks,1,1
24,170,60,F,2004,Summer,Innsbruck,Fencing,Thanks,1,1
23,176,77,M,1912,Summer,Atlanta,Football,Thanks,1,1
24,191,89,M,2010,Winter,Innsbruck,Bobsleigh,Thanks,1,1
20,180,69,F,1988,Summer,Seoul,Softball,Thanks,1,2
25,181,67,M,1912,Summer,Beijing,Football,Thanks,1,1
22,174,81,M,1988,Summer,London,Hockey,Thanks,1,1
32,179,72,F,1952,Summer,Atlanta,Gymnastics,Thanks,1,2
25,187,90,M,1964,Summer,Sarajevo,Wrestling,Thanks,1,2
23,187,92,M,1964,Summer,Moskva,Rhythmic Gymnastics,Thanks,1,1
23,178,84,M,1996,Summer,Rio de Janeiro,Diving,Thanks,1,1
29,183,67,M,1952,Summer,Helsinki,Athletics,Thanks,1,2
34,170,51,F,2004,Summer,Montreal,Art Competitions,Thanks,1,1
31,173,61,F,1996,Summer,London,Hockey,Thanks,1,2
21,175,65,M,1992,Summer,Moskva,Athletics,Thanks,1,1
26,177,76,M,1952,Summer,Munich,Wrestling,Thanks,1,2
23,173,74,F,2016,Summer,Torino,Athletics,Thanks,1,2
20,180,74,M,1936,Summer,London,Athletics,Thanks,1,1
32,190,101,M,2010,Summer,Vancouver,Athletics,Thanks,1,2
26,176,65,M,1908,Summer,Calgary,Athletics,Thanks,1,2
20,173,82,M,1988,Summer,Rio de Janeiro,Diving,Thanks,1,1
30,177,74,M,1984,Winter,Athina,Golf,Thanks,1,1
19,184,73,M,1908,Summer,Seoul,Badminton,Thanks,1,1
23,181,73,M,2010,Summer,Athina,Athletics,Thanks,1,1
26,168,79,M,1920,Summer,Atlanta,Equestrianism,Thanks,1,2
36,180,72,M,1996,Summer,Atlanta,Football,Thanks,1,1
29,191,87,M,1908,Summer,Atlanta,Football,Thanks,1,2
31,158,57,F,2004,Summer,Sydney,Hockey,Thanks,1,1
30,177,98,M,2012,Summer,London,Tug-Of-War,Silver,1,1
20,168,57,F,2004,Summer,Sydney,Short Track Speed Skating,Thanks,1,1
37,187,86,M,2004,Winter,Sochi,Sailing,Silver,1,1
28,173,71,F,2004,Summer,Antwerpen,Badminton,Thanks,1,2
18,174,77,M,1980,Summer,Torino,Athletics,Thanks,1,2
28,175,62,M,1996,Summer,Lillehammer,Synchronized Swimming,Silver,1,1
43,199,128,M,1994,Summer,Roma,Judo,Silver,1,2
28,177,71,M,1976,Summer,Nagano,Athletics,Thanks,1,2
23,178,62,M,1908,Summer,Roma,Athletics,Thanks,1,1
29,183,83,M,2016,Summer,Munich,Sailing,Thanks,1,1
28,165,38,F,1996,Summer,Lillehammer,Athletics,Thanks,1,1
30,168,63,M,1900,Summer,London,Shooting,Thanks,1,1
26,174,81,F,2008,Summer,Tokyo,Shooting,Thanks,1,2
25,190,89,M,2012,Summer,London,Rowing,Thanks,1,1
32,170,77,M,2016,Summer,Roma,Speed Skating,Thanks,1,2
29,165,75,F,1920,Summer,London,Weightlifting,Thanks,1,1
24,157,44,M,1984,Summer,Lillehammer,Gymnastics,Thanks,1,1
33,171,68,M,1920,Winter,Antwerpen,Athletics,Thanks,1,2
28,177,74,M,1994,Summer,Innsbruck,Athletics,Thanks,1,2
31,175,62,F,2008,Summer,Salt Lake City,Athletics,Thanks,1,1
23,172,72,F,1948,Summer,Sochi,Nordic Combined,Thanks,1,1
25,175,80,M,1992,Summer,Roma,Athletics,Thanks,1,1
23,164,63,M,1988,Summer,Beijing,Equestrianism,Thanks,1,2
32,173,84,F,1900,Summer,Antwerpen,Synchronized Swimming,Thanks,1,1
19,177,70,M,1988,Summer,Seoul,Athletics,Thanks,1,2
31,187,91,M,1992,Summer,St. Louis,Athletics,Thanks,1,1
25,175,66,F,2000,Summer,Antwerpen,Athletics,Thanks,1,2
29,169,67,F,2004,Summer,London,Wrestling,Gold,1,1
32,163,79,F,2008,Summer,Nagano,Judo,Thanks,1,1
29,166,52,M,2008,Summer,Tokyo,Athletics,Thanks,1,2
35,168,50,M,1992,Summer,Munich,Hockey,Thanks,1,1
32,174,97,M,1996,Summer,London,Shooting,Thanks,1,2
25,174,58,M,1988,Summer,Seoul,Athletics,Thanks,1,1
25,169,63,M,1992,Summer,Seoul,Hockey,Thanks,1,1
16,169,51,M,2012,Summer,Nagano,Athletics,Thanks,1,1
31,165,65,F,2008,Summer,London,Gymnastics,Thanks,1,1
15,179,64,F,2016,Summer,Rio de Janeiro,Athletics,Thanks,1,1
26,176,55,F,1972,Summer,Rio de Janeiro,Athletics,Thanks,1,1
19,180,69,M,1956,Summer,Barcelona,Athletics,Thanks,1,2
25,171,77,M,1936,Summer,London,Hockey,Thanks,1,1
29,173,59,M,2000,Summer,Sydney,Baseball,Thanks,1,1
26,178,84,F,2010,Winter,Athina,Baseball,Thanks,1,1
24,163,34,F,2008,Summer,Seoul,Sailing,Thanks,1,1
27,167,80,M,2006,Summer,Calgary,Ice Hockey,Thanks,1,1
28,160,73,M,1992,Summer,Stockholm,Shooting,Thanks,1,2
24,178,59,F,2016,Summer,Rio de Janeiro,Athletics,Thanks,1,3
24,173,61,F,1976,Summer,Innsbruck,Freestyle Skiing,Thanks,1,1
32,169,54,M,1984,Summer,Melbourne,Freestyle Skiing,Thanks,1,3
30,183,93,M,1964,Summer,Paris,Lacrosse,Thanks,1,2
29,182,84,M,2016,Summer,Rio de Janeiro,Sailing,Thanks,1,2
25,173,65,M,2012,Winter,Melbourne,Athletics,Thanks,1,3
25,172,40,F,1956,Summer,Innsbruck,Athletics,Thanks,1,1
21,173,67,F,1936,Summer,Atlanta,Lacrosse,Thanks,1,1
27,176,64,M,1992,Summer,Atlanta,Cycling,Thanks,1,1
24,182,82,M,1996,Summer,Mexico City,Athletics,Thanks,1,2
24,171,71,F,1996,Summer,London,Athletics,Thanks,1,2
32,169,60,F,2008,Summer,Rio de Janeiro,Baseball,Thanks,1,1
30,174,71,M,1992,Summer,Antwerpen,Cross Country Skiing,Thanks,1,2
25,177,74,M,1992,Summer,Berlin,Football,Thanks,1,2
20,164,42,F,1956,Summer,Rio de Janeiro,Alpine Skiing,Thanks,1,2
31,177,69,M,1924,Summer,Roma,Athletics,Thanks,1,2
17,177,65,M,2010,Summer,Nagano,Freestyle Skiing,Thanks,1,1
31,170,72,F,1996,Summer,Rio de Janeiro,Sailing,Thanks,1,1
22,176,61,M,1988,Summer,Stockholm,Athletics,Thanks,1,2
16,164,42,M,1992,Summer,Sydney,Athletics,Thanks,1,1
26,184,72,M,1964,Summer,Beijing,Alpine Skiing,Thanks,1,1
16,181,67,M,2016,Summer,Amsterdam,Fencing,Thanks,1,1
28,170,79,F,1996,Summer,Antwerpen,Skeleton,Thanks,1,1
22,189,72,F,2016,Summer,Salt Lake City,Skeleton,Thanks,1,1
35,178,86,F,1996,Summer,Atlanta,Skeleton,Thanks,1,1
20,180,68,M,1994,Summer,Lake Placid,Alpine Skiing,Thanks,1,1
25,177,69,M,2008,Summer,Athina,Rugby,Thanks,1,1
23,174,61,F,2016,Summer,Stockholm,Shooting,Thanks,1,1
28,192,116,M,1996,Summer,Barcelona,Cycling,Thanks,1,1
35,175,61,M,1912,Summer,London,Hockey,Silver,1,1
24,163,51,F,1952,Summer,Vancouver,Volleyball,Thanks,1,1
35,176,83,M,1972,Winter,Los Angeles,Speed Skating,Bronze,1,1
19,191,91,M,1994,Winter,Mexico City,Athletics,Thanks,1,1
22,184,60,M,2016,Summer,Seoul,Alpine Skiing,Thanks,1,1
18,177,68,M,2012,Summer,Albertville,Athletics,Thanks,1,1
17,174,71,M,2004,Summer,Sochi,Swimming,Thanks,1,1
23,171,46,F,2008,Summer,Beijing,Sailing,Silver,1,1
28,171,64,M,1996,Summer,Calgary,Figure Skating,Thanks,1,2
27,175,78,M,1992,Summer,Lake Placid,Cycling,Thanks,1,1
31,178,77,F,1936,Summer,Athina,Bobsleigh,Gold,1,1
29,198,89,M,1976,Summer,Rio de Janeiro,Alpine Skiing,Thanks,1,1
26,175,69,F,2016,Summer,Rio de Janeiro,Cycling,Thanks,1,1
37,177,99,F,1952,Summer,Sarajevo,Shooting,Gold,1,2
29,180,79,F,2000,Summer,Sydney,Sailing,Gold,1,5
13,175,83,M,1996,Summer,Barcelona,Cycling,Thanks,1,2
30,178,80,F,2000,Summer,Antwerpen,Rhythmic Gymnastics,Thanks,1,1
29,179,78,M,1980,Winter,Moskva,Wrestling,Thanks,1,5
27,187,83,M,1924,Summer,Moskva,Athletics,Thanks,1,2
23,181,72,M,2000,Summer,Amsterdam,Art Competitions,Thanks,1,1
23,188,77,M,1964,Summer,Athina,Volleyball,Thanks,1,1
24,181,78,M,1912,Summer,Moskva,Athletics,Thanks,1,1
21,178,75,F,2012,Winter,Oslo,Athletics,Thanks,1,1
20,200,99,M,1928,Summer,Sydney,Alpine Skiing,Thanks,1,2
20,162,57,M,2012,Winter,Melbourne,Swimming,Thanks,1,1
27,180,47,M,1996,Summer,Paris,Athletics,Thanks,1,1
20,178,77,M,2012,Summer,London,Swimming,Thanks,1,1
25,191,86,M,2012,Summer,London,Athletics,Thanks,1,1
33,195,115,M,1972,Summer,London,Freestyle Skiing,Thanks,1,2
27,176,77,F,2016,Summer,Tokyo,Boxing,Thanks,1,1
26,181,68,M,1988,Summer,London,Shooting,Thanks,1,1
30,170,77,M,2008,Summer,Berlin,Diving,Thanks,1,2
32,186,89,M,1996,Winter,Melbourne,Ice Hockey,Thanks,1,1
28,198,99,M,1996,Summer,London,Athletics,Thanks,1,1
13,181,67,F,2012,Summer,Berlin,Swimming,Thanks,1,1
23,182,68,M,1984,Winter,Paris,Athletics,Thanks,1,1
30,174,58,M,2012,Summer,Tokyo,Shooting,Thanks,1,2
28,174,71,F,1996,Summer,Montreal,Boxing,Thanks,1,2
22,169,63,M,1976,Summer,Lillehammer,Table Tennis,Thanks,1,2
